Claim_ID,Policy_ID,Claim_Receipt_Date,Claim_Description,Claim_Amount,Claim_Paid_Date
C1234508001,P987654800,3/31/2019,Accident,3900,9/15/2019
C1234508002,P987654800,6/15/2019,Accident,2700,11/15/2019
C1234508003,P987654800,9/15/2019,Accident,1600,2/15/2021
C1234508011,P987654801,5/15/2019,Accident,4200,11/15/2019
C1234508012,P987654801,11/15/2019,Accident,1200,1/15/2021
C1234508020,P987654802,7/15/2019,Accident,1900,1/15/2020
C1234508110,P987654811,8/15/2020,Accident,2100,12/15/2020
C1234508130,P987654813,12/15/2020,Accident,2600,1/15/2021
C1234508161,P987654816,9/15/2020,Accident,4700,12/15/2021
C1234508162,P987654816,1/1/2021,Accident,2100,5/15/2021
C1234508171,P987654817,10/15/2020,Accident,3600,1/15/2021
C1234508172,P987654817,2/15/2021,Accident,3400,5/15/2021
C1234508181,P987654818,3/15/2021,Accident,6500,6/15/2021
C1234508191,P987654819,10/15/2020,Accident,5600,1/15/2021
C1234508192,P987654819,1/15/2021,Accident,2400,5/15/2021
C1234508193,P987654819,5/15/2021,Accident,4500,8/15/2021
