Policy_ID,Customer_ID,Start_Date,End_Date,Policy_Limit,Premium_Amount
P987654800,777543800,1/1/2019,12/31/2019,500000 ,2750 
P987654801,777543801,2/1/2019,1/31/2020,750000 ,3000 
P987654802,777543802,3/1/2019,2/29/2020,1000000 ,3250 
P987654803,777543803,4/1/2019,3/31/2020,1250000 ,3500 
P987654804,777543804,5/1/2019,4/30/2020,500000 ,2750 
P987654805,777543805,6/1/2019,5/31/2020,750000 ,3000 
P987654806,777543806,7/1/2019,6/30/2020,1000000 ,3250 
P987654807,777543807,8/1/2019,7/31/2020,1250000 ,3500 
P987654808,777543808,9/1/2019,8/31/2020,500000 ,2750 
P987654809,777543809,10/1/2019,9/30/2020,750000 ,3000 
P987654810,777543810,11/1/2019,10/31/2020,1000000 ,3250 
P987654811,777543811,12/1/2019,11/30/2020,1250000 ,3500 
P987654812,777543812,1/1/2020,12/31/2020,500000 ,2750 
P987654813,777543813,2/1/2020,1/31/2021,750000 ,3000 
P987654814,777543814,3/1/2020,2/28/2021,1000000 ,3250 
P987654815,777543815,4/1/2020,3/31/2021,1250000 ,3500 
P987654816,777543816,5/1/2020,4/30/2021,500000 ,2750 
P987654817,777543817,6/1/2020,5/31/2021,750000 ,3000 
P987654818,777543818,7/1/2020,6/30/2021,1000000 ,3250 
P987654819,777543819,8/1/2020,7/31/2021,1250000 ,3500 
